,username,date,review_text
83,Huhn,1765843200000,"In einer von Großkonzernen beherrschten Ecke der Galaxis hat das Bot-Klon-Konstrukt SecUnit erfolgreich sein governor module gehackt. Aber statt zum Massenmord an nervigen Menschen entscheidet es sich lieber dafür, die neugewonnene Freiheit dazu zu nutzen, den ungeliebten Job als Security-Einheit nurmehr mit der halben Arschbacke zu erledigen und mit der anderen Hälfte seines immensen Arbeitsspeichers eine Menge Serien zu streamen. Blöd nur, dass es sich ungeahnt empathisch dabei anstellt, als es zwei Klient*innen davor rettet, von einem besonders gefräßigen Alien zu Tode gemampft zu werden. Jetzt wollen einige Menschen mit SecUnit sprechen. Am Ende noch mit Blickkontakt. Der pure Horror! (Leute, ich hab die Reihe jetzt bis auf den letzten halben Band am Stück weggesuchtet … ich habe zu wenig geschlafen und fühle mich, als hätte ich einen nicht geringen Anteil meiner Hirnkapazität gespacet und habe mich beim Schreiben dieser Review in einen regelrechten Buchstabenrausch geschrieben. Ich entschuldige mich jetzt schon für meinen Redeschwall. Unten einmal meine Gedanken zur gesamten Buchreihe, dann kann ich mich in den folgenden Reviews kurz zu den Einzelbänden äußern. tl;dr: Die Buchreihe ist klasse. Selten so begeistert gewesen.) Diese Buchreihe wurde mir von zwei Freundinnen unabhängig voneinander wärmstens ans Herz gelegt und … siehattensorechtdiesesBuchistdasbesteseitgeschnittenBrotlestesalleesistsogutaaaaahhhh!!!! Lasst mich nicht anfangen zu schwärmen, sonst bekomme ich einen Laberanfall der Sonderklasse und erzähle euch ungefragt und szenengenau ausführlich, warum die ganze Murderbot-Reihe das Beste ist, was ich seit Monaten gelesen habe. *luftholt* Ich war langsam schon genervt davon, dass ich so viel Romance lese, obwohl ich auf die ganzen Sexszenen üblicherweise nicht mal besonderen Wert lege. Ich fürchtete, dass ich vielleicht einfach verdumme und auf seichte Lektüre stehe oder so. Aber nein, die Murderbot-Diaries haben mir gezeigt, warum ich sowas eigentlich lese und was ich darin suche. Ich habe sie endlich gefunden – die garantiert absolut sex- und romantikfreie Buchreihe, die ALL THE FEEELINGS und ALL THE INTERESTING AND LIKEABLE CHARACTERS erkundet! Wer hätte es geahnt … Emotionen und Beziehungen sind so viel vielschichtiger als immer nur LiebeLiebeLiebe und dadurch, dass wir hier einem künstlichen Konstrukt folgen, das schon rein biologisch nullkommanull Interesse an dieser Art von Fortpflanzung hat, bleibt endlich der Raum, sich mit allem anderen zu befassen. Und es ist mindestens genauso spannend, verwirrend, aufregend, mitreißend, einfühlsam, beängstigend, herzerwärmend und herzzerreissend, zuzusehen, wie hier die Menschen, Konstrukte, Bots miteinander agieren. ALL THE DRAMA! Ein anderer Punkt – ich habe lange keinen Charakter gelesen, mit dem ich mich so sehr identifizieren konnte wie mit SecUnit/Murderbot, wenn es keinen Bock mehr auf Menschen hat, ohne dabei Menschen grundsätzlich zu hassen. Nicht, dass ich mich mit dem Gesicht zur Wand drehen würde, aber ich kann das Bedürfnis danach gut nachempfinden und direkter Blickkontakt während eines nicht-intimen Gesprächs ist die Geißel der Menschheit, wenn ihr mich fragt (ich wünschte, *ich* könnte mir eine Subroutine coden, die mich die gesellschaftlich erwünschte Menge an Augenkontakt automatisch halten lässt, während ich mein Blickfeld aktiv ignoriere und meine Gesprächspartner*innen im Livestream über meine Drohnenkamera anschaue). Und nein, ich wüsste nicht, dass ich autistisch bin. Aber ich glaube, dass viele Menschen, die zur Introvertiertheit und allgemeiner sozialer Unsicherheit neigen, in SecUnit einen sehr nachempfindbaren Charakter finden. Es ist aber sicher auch kein Zufall, dass so viele Autist*innen sich mit SecUnit identifizieren können. Ich habs auch sooo gefühlt, als SecUnit nach einem richtig beschissenen Tag einfach nur auf seinem ungemütlichen Plastikbett crashen und Serien schauen will. Ich gucke wenig Serien, aber ersetze geistig „Serie schauen“ durch „gutes Buch lesen“ und schon bin ich dabei. Hey, ich habe definitiv Buchreihen, die mein Sanctuary Moon sind und aus denen ich Abschnitte auswendig rezitieren kann, um mich in Stresssituationen abzuregen. Feel you, SecUnit, feel you. Was ich auch großartig finde – Ich liebe es, Geschichten über kompetente Charaktere zu lesen. Und abseits aller social awkwardness – wenns um seinen Job geht, ist SecUnit wirklich überdurchschnittlich kompetent. Das ist SO befriedigend, wenn es sich durch Systeme hackt, schnelle und fundierte Entscheidungen trifft, Abwägungen macht, Wahrscheinlichkeiten berechnet, Leute entwaffnet und Dinge zerschlägt. SO! Befriedigend! In diesem Zusammenhang: Ich lese sonst nicht gerne SciFi-Technobabble. Oft steht er in Verbindung mit langen Beschreibungen von technischen Geräten oder astronomisch-physikalischen Erklärungen, die mich einfach nicht interessieren. In dieser Buchreihe ist der Technobabble eher im IT-Bereich angesiedelt und auch da reicht ein halbwegs oberflächliches Verständnis davon, wie ein Code oder ein Netzwerk grundsätzlich funktionieren, um folgen zu können. Ich bin Historikerin, nicht ITlerin – wenn ich das schaffe, schafft ihr das auch! Ich habe dank der Murderbot-Reihe zum ersten Mal verstanden, warum Leute sowas gerne lesen. Es war gar nicht anstrengend, sondern absolut mühelos und aber ich hatte gleichzeitig das Gefühl, total *smort* zu sein und alles voll zu durchschauen. Wieder: SO! Befriedrigend! Ich liebe es, dass das Aussehen der Personen recht spärlich beschrieben wird. Selbst von unserer Hauptfigur SecUnit erfahren wir im Verlauf der Bände nur vage Informationen zum Äußeren, abseits von „in langen Klamotten siehts wie ein Mensch mit Dataport im Nacken aus“. Das gelingt in anderen Büchern nicht so gut, aber hier werden die Figuren über ihr Verhalten, ihre Art zu sprechen und ihre Beziehungen untereinander so gut charakterisiert, dass das Aussehen so weit in den Hintergrund tritt, dass es tatsächlich so egal ist, wie es sein sollte. Davon abgesehen lese ich ohnehin nicht gern lange Beschreibungen vom Aussehen, weil ich insbesondere Frisuren und Klamotten auch einfach nicht sehr interessant finde. Urban Fantasy und Romance sind voll von solchen Beschreibungen und es könnte mir nicht egaler sein, welche Jeans die Figur heute trägt. Die Murderbot-Diaries entlasten hier meinen Arbeitsspeicher beim Lesen, indem das beschrieben wird, was ich wissen will. Und nicht das, was die Autorin oder der Autor meinen, mir unbedingt vermitteln zu müssen, damit ich mir alles richtig™ vorstelle. Naja und dann sind die gesellschaftlichen und sozialen Verhältnisse angenehm und unaufdringlich dargestellt. Verschiedene romantische Beziehungen der Menschen gehören zu deren Hintergründen, werden aber nicht tiefer thematisiert oder als Besonderheit herausgestellt. Das verleiht ihnen gebührende Selbstverständlichkeit und lässt – wieder – Platz für weitere, interessante Aspekte. Ok, wir wissen, dass Dr. Mensah zwei Ehepartner*innen und einige Kinder zuhause hat. Das ist cool – aber ist nicht ihr einziger definierender Faktor, denn rein zufällig ist sie außerdem politische Entität, wissenschaftliche Fachfrau und eine energische Anführerin. Und nicht frei von Fehlern. Insbesondere konzentriert sich die ganze Buchreihe - neben der formidablen Action - auf die Frage, wer SecUnit ist und was es will vom Leben. Damit in Verbindung stehen Fragen danach, was es überhaupt ausmacht, eine Person zu sein, wie eine Person behandelt werden sollte, welche Rechte wem gebühren. Wer über wen bestimmen darf und was das jeweils impliziert. Steht natürlich, abseits der SciFi auch damit in Verbindung, was uns als Menschen ausmacht und wie wir miteinander umgehen sollten. Ich sehe realweltlich durchaus auch Parallelen zu Tierrechtsdebatten, aber jetzt schweife ich endgültig ab. Ah, ich könnte ewig so weiterschwärmen! Ähm ja. Also, man merkt es kaum, aber ich bin restlos begeistert und fahre einen serotoningeschwängerten Lektüretrip der Sonderklasse. Vielleicht lese ich die Reihe, wenn ich durch bin, auch einfach nochmal von vorne, bis im Mai der nächste Band erscheinen soll. So. *geht weiterlesen* 2 likes"
84,Karrie,1765843200000,I was excited to read this...until my partner told me we watched the series together and then I lost interest.
85,Arturo,1765843200000,"this is a pretty good book. it’s short, plot is barely there but it works just fine for the story, characters are well defined and i’d assume i’ll see them later but it would also be cool if they just existed for this book. yeah, i dig it. no idea what comes next but as a palate cleanser this was perfect. would reccommend. actually, giving it another star cause the audiobook was super nice. loved the ambience and sound effects 1 like"
86,Erika Gates,1765843200000,Okay murderbot is so cute. And this was actually really funny. I cant wait to continue. 1 like
87,Shane Maher,1765843200000,"This book was such a fun concept but unfortunately just too short. The pacing was offset by long winded techno-babble before a bun-rush to the finale that wraps up so abruptly. The capitalist world is one that is very engaging and Murderbot is so endearing, but unfortunately the pacing kills this entry."
88,Mk,1765843200000,"2.75 All Systems Red has Andy Weir-like humor that just kind of annoys me on principle, and I am left underwhelmed (and vaguely confused) by the pretty standard plot. The stakes felt mismatched with the narrative and the climax and resolution were not satisfying"
89,K M,1765843200000,"An absolutely gorgeous book about the power of kindness and free will. 10000% recommend to anyone who enjoys found family, cool action sequences, and developing unreasonably strong affection for fictional murderbots."
90,Leon,1765843200000,"33%, Ch.4/8"
91,Rexsplode1,1765843200000,"6/10 Not a lot happened, but Murderbot’s voice is interesting. We’ll see where the next ones go."
92,Deepti,1765843200000,"The biggest tribute I can give to a book is reading it again as soon as I finish it :) This book was hilarious... Imagine your AI super bored, disinterested and only wanting to binge watch sitcoms and calling itself ""Murderbot"" :) And corporate profitability meaning that most of what you hire is half assed, slapped on packages with glitchy maps, malfunctioning hardware etc :) I loooved this book and can't wait to read the rest of the series"
